part_number,mlfb,productos,description
P3054L3200CU,US2:P3054L3200CU,MX:P3054L3200CU,CENTRO DE CARGA QP PL ML 30P 3F 200A UL
P4260L3225CU,US2:P4260L3225CU,MX:P4260L3225CU,CENTRO DE CARGA QP PL ML 42P 3F 225A UL
P5470L3225CU,US2:P5470L3225CU,MX:P5470L3225CU,LOAD CENTER UL 54S 70C MAIN BREAKER 3P 225A
PW1224L3125CU,US2:PW1224L3125CU,MX:PW1224L3125CU,LOAD CENTER UL 12S 24C MAIN LUG 3P 125A
PW2442L3200CU,US2:PW2442L3200CU,MX:PW2442L3200CU,3PH LC 24S 42C ML 200A CU OUTDOOR
PW3054L3200CU,US2:PW3054L3200CU,MX:PW3054L3200CU,PL 30P 54C 3P4W COPPER BUS OUTDOOR 200A
PW4260L3225CU,US2:PW4260L3225CU,MX:PW4260L3225CU,PL 42P 60C 3P4W COPPER BUS OUTDOOR 225A
MBK100A,US2:MBK100A,MX:MBK100A,BREAKER 100A 2P 120/240V22K EQ8681 MAIN
MBK125A,US2:MBK125A,MX:MBK125A,BREAKER 125A 2P 120/240V22K EQ8682 MAIN
MBK150A,US2:MBK150A,MX:MBK150A,BREAKER 150A 2P 120/240V22K EQ8693 MAIN
MBK200A,US2:MBK200A,MX:MBK200A,BREAKER 200A 2P 120/240V22K EQ8695 MAIN
MBK225A,US2:MBK225A,MX:MBK225A,BREAKER 225A 2P 120/240V22K EQ8696 MAIN
MBK3100,US2:MBK3100,MX:MBK3100,MAIN BREAKER KIT 100A 3PH QP 240V 10K
MBK3125R,US2:MBK3125R,MX:MBK3125R,"MAIN BREAKER KIT 125A 3PH 240V 10K, QR"
MBK3150R,US2:MBK3150R,MX:MBK3150R,"MAIN BREAKER KIT 150A 3PH 240V 10K, QR"
MBK3175R,US2:MBK3175R,MX:MBK3175R,"MAIN BREAKER KIT 175A 3PH 240V 10K, QR"
MBK3200R,US2:MBK3200R,MX:MBK3200R,"MAIN BREAKER KIT 200A 3PH 240V 10K, QR"
MBK3225R,US2:MBK3225R,MX:MBK3225R,"MAIN BREAKER KIT 225A 3PH 240V 10K, QR"
MBK3125HR,US2:MBK3125HR,MX:MBK3125HR,MAIN BREAKER KIT 3P 125A 22KA
MBK3150HR,US2:MBK3150HR,MX:MBK3150HR,MAIN BREAKER KIT 3P 150A 22KA
MBK3175HR,US2:MBK3175HR,MX:MBK3175HR,MAIN BREAKER KIT 3P 175A 22KA
MBK3200HR,US2:MBK3200HR,MX:MBK3200HR,MAIN BREAKER KIT 3P 200A 22KA
MBK3225HR,US2:MBK3225HR,MX:MBK3225HR,MAIN BREAKER KIT 3P 225A 22KA
MBSK3,US2:MBSK3,MX:MBSK3,KIT PARA PRINCIPAL 3F TIPO QJ
Q115,US2:Q115,MX:Q115,BREAKER QP 1P 15A 120V 10K
Q120,US2:Q120,MX:Q120,BREAKER QP 1P 20A 120V 10K
Q130,US2:Q130,MX:Q130,BREAKER QP 1P 30A 120V 10K
Q140,US2:Q140,MX:Q140,BREAKER QP 1P 40A 120V 10K
Q150,US2:Q150,MX:Q150,BREAKER QP 1P 50A 120V 10K
